プレイヤー名,合計,パーフェクトイーター,Drastic Dramatic,魔法のかくれんぼ,DEATH†ZIGOQ ～怒りの高速爆走野郎～,バッド・スイーツ、バッド・ドリーム
KKM*,17275,3052,3524,2883,4138,3678
U*KKM*,17227,3057,3521,2861,4124,3664
S*MORI,17204,3053,3524,2851,4110,3666
UCCHIE,17197,3055,3524,2843,4112,3663
SEIRYU,17193,3051,3521,2861,4112,3648
CORIVE,17134,3042,3512,2845,4086,3649
DINASO,17121,3046,3517,2845,4064,3649
KUREI,17066,3048,3517,2806,4066,3629
U*PAFE,17051,3027,3508,2823,4085,3608
STYU--,17049,3043,3513,2810,4076,3607
F,17024,3031,3511,2799,4069,3614
MI7RAI,17004,3030,3495,2819,4069,3591
YYY,16991,3034,3514,2796,4051,3596
RICK.,16983,3042,3515,2817,4017,3592
I6VV,16981,3028,3502,2805,4048,3598
NO4XTK,16973,3042,3511,2804,4033,3583
MA2KEN,16920,3039,3516,2777,4026,3562
RENNE,16897,3024,3489,2796,4022,3566
EXIT,16895,3031,3497,2789,3994,3584
LOOT,16892,3029,3491,2776,4029,3567
YAMADA,16881,3037,3501,2755,4014,3574
HINO38,16876,3026,3497,2764,4031,3558
46,16874,3040,3507,2751,4048,3528
K-JET.,16860,3021,3491,2770,4015,3563
FLADY,16857,3033,3500,2773,3985,3566
33TAYA,16841,3025,3506,2772,4032,3506
A.X.L.,16841,3029,3498,2772,4017,3525
SLEEPY,16835,3022,3502,2759,4008,3544
NEFI,16834,3015,3492,2761,4008,3558
TAKA.S,16833,3032,3496,2634,4085,3586
TAKWAN,16830,3029,3506,2783,4001,3511
ASLY,16822,3024,3495,2767,3983,3553
RAITO.,16812,3017,3498,2751,4015,3531
NAMIGE,16809,3014,3496,2747,4008,3544
NORI,16796,3014,3472,2760,4018,3532
ENBRY,16795,3005,3481,2735,4036,3538
HAJIME,16790,3011,3482,2749,3996,3552
HAKU0,16770,3021,3493,2737,3984,3535
AL,16770,3008,3474,2766,3976,3546
45NYAN,16768,3028,3498,2737,3972,3533
9MARY0,16762,3010,3472,2743,4008,3529
W,16761,3005,3477,2773,3984,3522
TEMIKO,16755,3005,3492,2726,3985,3547
BK-BOM,16742,3006,3481,2759,4003,3493
VAN3,16731,3009,3451,2752,3966,3553
IKESJD,16720,3015,3477,2775,3936,3517
KURUPI,16706,2988,3455,2712,4011,3540
GAHOU,16695,3006,3459,2729,3992,3509
MUNEKI,16686,3013,3447,2767,3947,3512
YONEPL,16683,3010,3455,2754,3946,3518
REAPER,16681,2993,3483,2715,3969,3521
ORI1.M,16677,3006,3477,2719,3946,3529
SUZUKI,16666,2999,3468,2739,3951,3509
YAKAN,16647,2985,3457,2746,3934,3525
MR2N,16646,3029,3440,2731,3914,3532
Y#KIRI,16637,2975,3465,2742,3944,3511
CHINO,16633,3004,3474,2697,3970,3488
GANJYA,16623,3003,3452,2695,3954,3519
ALKALI,16613,3005,3448,2705,3966,3489
KAMA,16610,2985,3459,2728,3956,3482
24NAR1,16593,3002,3454,2706,3945,3486
BOCCHI,16591,2989,3466,2702,3905,3529
SUBARU,16582,2995,3465,2713,3938,3471
PUPPY*,16580,3007,3476,2737,3920,3440
AXIOM.,16578,2999,3450,2700,3917,3512
KIDSK,16576,3017,3467,2718,3909,3465
S.MOCK,16574,3014,3442,2698,3918,3502
NAKAG,16569,2976,3420,2714,3950,3509
ADXM31,16569,3015,3490,2684,3936,3444
STRNGI,16566,3009,3443,2730,3885,3499
CXF,16566,2982,3453,2728,3948,3455
MIQOTE,16564,2993,3454,2709,3958,3450
SHOWER,16551,2995,3448,2722,3897,3489
K46,16538,2990,3481,2715,3878,3474
KAWORU,16519,2995,3475,2704,3878,3467
SUZAKU,16519,2989,3465,2761,3903,3401
UN&C0.,16516,2985,3431,2692,3904,3504
TOSH,16516,3004,3443,2704,3853,3512
XWHW73,16507,2997,3442,2679,3884,3505
JUKARI,16503,2968,3435,2741,3900,3459
RUBY,16498,2973,3457,2721,3884,3463
MOKKAN,16489,2978,3450,2683,3927,3451
SUMIRE,16487,3005,3413,2719,3894,3456
NPC-04,16482,2976,3440,2701,3927,3438
K.F,16472,2980,3425,2693,3860,3514
FLONNE,16472,2987,3438,2654,3893,3500
GB-EBY,16469,2970,3439,2709,3890,3461
UOKI,16467,3001,3472,2640,3863,3491
PTN***,16462,2989,3450,2694,3869,3460
TIN3TO,16459,2988,3454,2661,3896,3460
TKSAKA,16448,2932,3437,2717,3889,3473
K1SHOT,16446,2972,3447,2711,3864,3452
P.GOLF,16442,2984,3429,2663,3899,3467
YUKITO,16440,3002,3413,2700,3828,3497
