プレイヤー名,合計,パーフェクトイーター,I-W-U (I Want U)（※EXTRA SAVIOR A3）,Sparkle Dreams（※EXTRA SAVIOR A3）,We're so Happy,KING,Triple Cross,New Generation,BITTER CHOCOLATE STRIKER,Anti-Matter
CHRS4LFE,18376,2100,2244,2004,2115,1947,2022,1757,2000,2187
NAT8,18365,2100,2244,2004,2115,1947,2021,1756,1995,2183
O4MA.,18353,2097,2242,2002,2114,1947,2020,1755,1991,2185
HIBIKI,18345,2097,2240,2001,2113,1944,2018,1754,1995,2183
NAYU,18341,2097,2243,2001,2114,1947,2017,1750,1991,2181
CHUNKA,18328,2097,2241,1999,2112,1944,2016,1752,1988,2179
MARQQQ,18326,2098,2244,2002,2115,1947,2018,1748,1979,2175
TSU,18320,2097,2241,2001,2112,1945,2018,1752,1979,2175
RINBO-,18319,2093,2241,2001,2111,1943,2017,1748,1986,2179
HO4-KETI,18293,2094,2237,1998,2109,1946,2015,1746,1976,2172
KANAME,18291,2096,2233,1995,2111,1946,2009,1753,1982,2166
HARUJUN,18285,2086,2237,1997,2110,1942,2014,1748,1982,2169
GIEZ-ACS,18285,2094,2238,2000,2111,1943,2018,1746,1972,2163
NAKASON,18276,2096,2240,2001,2114,1947,2012,1745,1961,2160
ZERO.,18274,2090,2239,1998,2114,1939,2017,1748,1971,2158
YOSHIMIZ,18266,2094,2238,1997,2112,1942,2017,1744,1963,2159
MAMURU3,18265,2087,2236,1995,2108,1944,2013,1742,1973,2167
THOR,18264,2095,2236,2001,2110,1942,2017,1751,1969,2143
KAZE.573,18261,2086,2233,1998,2111,1942,2011,1740,1973,2167
DR.D,18249,2090,2241,1996,2109,1946,2015,1740,1967,2145
5 1 3,18238,2084,2234,1994,2111,1943,2011,1740,1969,2152
KAY0SS,18232,2089,2234,1991,2108,1940,2006,1752,1971,2141
TRICAL-Y,18221,2084,2235,1996,2109,1940,2009,1734,1966,2148
BLSTOISE,18221,2087,2234,1988,2109,1940,2010,1742,1962,2149
EVILDAVE,18218,2085,2235,1988,2111,1941,2010,1736,1975,2137
YUK1-S,18216,2085,2232,1989,2104,1938,2015,1740,1962,2151
