プレイヤー名,合計,パーフェクトイーター,ROCK THE PARTY（※EXTRA SAVIOR A3）,mathematical good-bye（※EXTRA SAVIOR A3）,SCHWARZSCHILD FIELD,ORCA,TYPHØN,ΔMAX,CHAOS Terror-Tech Mix,MEGALOVANIA
MARQQQ,19361,2095,2234,2504,1891,2025,2165,2041,1989,2417
NOTTY,19256,2082,2223,2494,1885,2015,2143,2021,1980,2413
TSU,19182,2096,2225,2501,1885,2017,2151,2020,1966,2321
RINBO-,19181,2052,2219,2493,1878,2019,2160,2015,1976,2369
NAKASON,19177,2095,2198,2500,1890,2023,2078,2015,1986,2392
O4MA.,19104,2076,2184,2496,1873,1999,2128,2016,1945,2387
UN-LIM,19081,2080,2220,2494,1879,1981,2117,2026,1907,2377
MENN,19066,2064,2213,2476,1874,1981,2131,1990,1953,2384
BLSTOISE,19016,2069,2206,2486,1881,1992,2119,2008,1939,2316
HUP.GAME,19007,2076,2216,2481,1877,1987,2122,2007,1913,2328
ABUKUMA.,18871,2066,2204,2456,1875,1981,2117,1963,1917,2292
NOBARBEN,18871,2042,2217,2440,1860,1926,2108,2016,1942,2320
HU TAO,18857,2035,2194,2447,1862,1972,2094,2000,1901,2352
KNOTTY,18846,2072,2213,2475,1877,1879,2130,1933,1939,2328
YO4-YEAH,18788,2053,2220,2469,1855,1950,2079,2001,1925,2236
KITUNE,18761,2045,2200,2477,1870,1928,2038,1929,1937,2337
BREEBS,18727,2066,2187,2471,1857,1983,2007,1885,1915,2356
5 1 3,18718,2050,2180,2464,1851,1950,2110,1978,1872,2263
N.NATURE,18693,2050,2175,2449,1877,1947,2041,2005,1865,2284
OHAMIZSE,18662,2022,2161,2398,1861,1980,2095,1946,1935,2264
GINXYASU,18661,2079,2197,2360,1884,1994,2122,2035,1943,2047
MEMENTOD,18649,2039,2171,2416,1875,1922,2052,1996,1904,2274
KEI-EDGE,18593,2031,2190,2407,1853,1958,2047,1980,1882,2245
LAPIS,18577,1997,2190,2459,1847,1898,2097,1927,1875,2287
MOK2,18532,2008,2174,2334,1834,1932,2065,1972,1902,2311
WATA8U,18524,2041,2148,2430,1850,1953,2060,1935,1867,2240
SCARLET,18517,2042,2185,2432,1869,1936,1970,1910,1859,2314
26.964,18424,1992,2187,2334,1775,1934,2049,1990,1841,2322
OTNTN-X,18423,2061,2177,2372,1855,1897,2001,1955,1879,2226
MAIL-IN,18420,2051,2160,2424,1847,1937,2046,1951,1876,2128
MOO-G.56,18417,2090,2203,1781,1876,2022,2121,2028,1963,2333
PP1!,18387,2053,2180,2354,1854,1958,1949,1957,1857,2225
KUBO.T,18360,1996,2168,2396,1838,1870,2019,1967,1892,2214
UN-RE,18332,1347,2215,2469,1866,2001,2069,2025,1943,2397
SELZLA,18305,2057,2170,2461,1865,1930,1987,1761,1838,2236
ONI-3,18290,2045,2170,2378,1850,1860,1936,1935,1876,2240
LOTUS.,18289,1966,2147,2397,1784,1861,2059,1889,1817,2369
SEFIROT,18275,2034,2171,2446,1852,1911,2005,1936,1697,2223
P.EEVEE,18222,2027,2157,2408,1850,1859,2023,1921,1839,2138
SHO-NEN.,18147,1941,2141,2428,1817,1867,2108,1950,1890,2005
GRENINJA,17997,2047,2164,2417,1859,1908,2070,1940,1592,2000
KAI,17993,1980,2134,2393,1816,1875,1985,1848,1785,2177
K I D,17992,2003,2179,2323,1862,1804,1982,1912,1791,2136
COUNT,17903,2021,2119,1890,1855,1952,2069,1952,1862,2183
2810RI3,17874,1991,2145,2393,1768,1697,1925,1880,1796,2279
SIGNIT,17816,1975,2110,2316,1796,1898,1915,1915,1725,2166
NICEGB,17793,1999,2148,2379,1807,1833,1936,1799,1800,2092
MUDKIPZ,17774,1994,2136,2310,1824,1878,1946,1930,1766,1990
TACD,17751,2021,2177,2260,1840,1715,2034,1843,1737,2124
&,17728,1979,2096,2370,1814,1847,1953,1631,1781,2257
ALRESCHA,17694,1951,2089,2298,1795,1846,1886,1920,1743,2166
DICE-TGR,17684,2001,2124,2343,1766,1873,1950,1857,1768,2002
HITO,17678,2032,2151,2385,1842,1702,1982,1792,1594,2198
GAWRGURA,17668,1980,2146,2211,1813,1913,1833,1877,1755,2140
USA9!,17649,1980,2123,1928,1803,1837,2022,1827,1831,2298
MYU,17563,1965,2119,2359,1784,1722,1917,1840,1735,2122
TAMA53,17453,1980,2118,2340,1698,1612,1738,1941,1782,2244
PR1SM,17447,1960,2092,2256,1781,1759,1948,1795,1682,2174
KURO-4,17345,2032,2125,2427,1846,1890,2055,1914,1899,1157
ICCHIE,17342,2008,2139,1993,1814,1873,2008,1903,1685,1919
GT,17307,1875,2118,2240,1733,1768,1899,1854,1649,2171
FENRIR,17300,2036,2140,2420,1868,1869,2023,1065,1868,2011
SNOWH1TE,17242,1915,2029,2247,1737,1826,1827,1839,1648,2174
46TAMA,17242,1864,2096,2229,1734,1641,1907,1834,1687,2250
TANUKI-C,17224,1969,2056,2374,1788,1750,1991,1775,1699,1822
A-GON,17209,2005,2170,1158,1866,1938,1921,1978,1837,2336
BONJIN.T,17205,1918,2039,2282,1773,1797,1909,1829,1714,1944
A--RU,17200,1916,2090,2184,1773,1811,1853,1852,1618,2103
KOIKING,17196,1884,2078,2251,1766,1717,1840,1831,1659,2170
YUKEY,17146,1917,2087,2104,1806,1783,1913,1749,1721,2066
MOWEN,17144,1976,2026,1787,1793,1742,1946,1847,1792,2235
9610,17093,1915,2095,2149,1785,1555,1952,1849,1728,2065
ZEO,17081,1941,2075,1688,1779,1920,1846,1895,1861,2076
HAK,17073,1900,2058,2052,1781,1803,1835,1864,1725,2055
THANKYOU,17044,1408,2175,1768,1864,1841,1928,1961,1812,2287
MTK,17034,1883,2076,1730,1798,1797,1798,1915,1811,2226
LANCEOFX,16984,1934,2101,2357,1782,1598,1889,1734,1524,2065
OOON!!,16966,1148,2184,1881,1830,1915,2050,1987,1781,2190
CINNAMRL,16950,1930,2156,2302,1808,1504,1942,1790,1592,1926
OTAKO,16909,1561,2068,1961,1784,1812,1916,1865,1778,2164
PHI,16896,1927,2092,2238,1789,1450,1797,1841,1578,2184
AKA-RD.,16810,1945,2077,2266,1809,1369,1864,1777,1622,2081
29-REGZA,16799,1964,2066,1706,1788,1767,1746,1829,1777,2156
YAMARYU,16769,1795,2132,2176,1688,1625,1799,1815,1605,2134
TOPPY,16692,2057,2189,2459,1856,1977,0,1959,1873,2322
HOLLY,16690,1980,2094,1765,1803,1768,1996,1643,1652,1989
ROUTESAN,16630,1951,2147,2100,1832,1538,1657,1828,1585,1992
REPI,16583,1808,2046,1949,1695,1790,1764,1812,1671,2048
Q-SILV,16571,1822,2031,1839,1642,1714,1873,1823,1714,2113
GOBOU,16570,1944,1404,2234,1797,1844,1838,1821,1594,2094
