プレイヤー名,合計,パーフェクトイーター,Preserved Valkyria,Rhapsody ⚙f Triumph
YU11（5 回）,30000000,10000000,10000000,10000000
XD*LEVI.（6 回）,30000000,10000000,10000000,10000000
IWNL（13 回）,30000000,10000000,10000000,10000000
BLACKCAT（20 回）,30000000,10000000,10000000,10000000
#7C.DE（47 回）,30000000,10000000,10000000,10000000
NPOCHAM（7 回）,29998495,10000000,10000000,9998495
MARUP*IC（28 回）,29998495,10000000,10000000,9998495
STR（20 回）,29998111,10000000,9998111,10000000
MINI（1 回）,29996990,10000000,10000000,9996990
JAKADAYO（1 回）,29996990,10000000,10000000,9996990
CH（4 回）,29996990,10000000,10000000,9996990
WANIROU（1 回）,29992476,10000000,10000000,9992476
R4（2 回）,29978386,9995735,9988670,9993981
AMELIA.I（1 回）,29976662,10000000,9996223,9980439
CIEL*（7 回）,29972861,9993603,9986782,9992476
OF CAFE（2 回）,29972025,9982942,9998111,9990972
MELAN（1 回）,29967359,9997867,9990558,9978934
K#MUS.IC（1 回）,29967226,9993603,9988670,9984953
#.JUNG W（2 回）,29960051,10000000,9981117,9978934
SLIMEEEE（1 回）,29959046,9991471,9981117,9986458
92MOCHI.（2 回）,29957397,10000000,9975453,9981944
F. REZI7（1 回）,29954508,9985074,9975453,9993981
*YNR*（2 回）,29953515,9995735,9977341,9980439
MIKU-Z0D（5 回）,29952644,9991471,9979229,9981944
LEAF.MIL（1 回）,29952156,9987206,9983006,9981944
PICOLTEX（1 回）,29950262,9993603,9979229,9977430
24KW（3 回）,29949135,10000000,9979229,9969906
INARI（1 回）,29948618,9995735,9975453,9977430
BOJ28697（2 回）,29943372,9989339,9981117,9972916
FLOST（3 回）,29941169,10000000,9962235,9978934
DUSTAR*（1 回）,29938928,10000000,9966012,9972916
RILESAN（3 回）,29937398,9993603,9960347,9983448
OTLYES（1 回）,29935593,10000000,9979229,9956364
EDIS.HUM（1 回）,29932223,9974413,9984894,9972916
-ERROR（1 回）,29930573,9982942,9979229,9968402
C.ISPIN（1 回）,29925391,9993603,9967900,9963888
I.WF（6 回）,29924188,9995735,9981117,9947336
VARNISH（2 回）,29921341,9991471,9958459,9971411
SLASH*S（1 回）,29921072,9982942,9954682,9983448
LA PRI（1 回）,29919115,9972281,9967900,9978934
ATTACK（1 回）,29917484,9993603,9966012,9957869
SEIUNSKY（2 回）,29909659,9968017,9986782,9954860
4T5U5H1（1 回）,29908322,9989339,9964123,9954860
D.（1 回）,29901970,9987206,9943353,9971411
RICE.S（2 回）,29900914,9980810,9962235,9957869
FLN（6 回）,29900605,9985074,9947129,9968402
0 CARAT（1 回）,29900337,9976545,9943353,9980439
MAHORO（2 回）,29899775,9968017,9960347,9971411
KANATASO（1 回）,29893303,9980810,9939577,9972916
SLASAN（7 回）,29886055,9991471,9977341,9917243
NU6（1 回）,29881422,9991471,9947129,9942822
A&A（2 回）,29879736,9974413,9933912,9971411
LON（3 回）,29878918,9976545,9949018,9953355
IKIHAJI（2 回）,29878228,9957356,9966012,9954860
ALC.WINE（1 回）,29878140,9989339,9941465,9947336
IPHONE3G（2 回）,29877570,9955223,9958459,9963888
762（2 回）,29877129,9987206,9939577,9950346
GUGUBIRD（3 回）,29875699,9991471,9926359,9957869
EKARU2AN（4 回）,29871424,10000000,9922583,9948841
NB1RS*BD（4 回）,29871371,9970149,9943353,9957869
LETI*（1 回）,29865975,9955223,9975453,9935299
R-FIV*（1 回）,29865822,9961620,9935800,9968402
K9（1 回）,29865382,9970149,9950906,9944327
DORABASE（1 回）,29864824,9978678,9935800,9950346
33SA.COM（2 回）,29864300,9980810,9930135,9953355
SERVAL（1 回）,29862297,9965884,9964123,9932290
MAIDRA5N（5 回）,29860950,10000000,9937688,9923262
20!（1 回）,29858262,9991471,9892371,9974420
THND.HUM（1 回）,29857294,9985074,9933912,9938308
V*ENMT（3 回）,29855713,9972281,9915030,9968402
KOMIMI（1 回）,29848476,9993603,9922583,9932290
M.M1KA*（1 回）,29846028,9970149,9907477,9968402
KUMEKI（1 回）,29842213,9991471,9924471,9926271
TE（1 回）,29841327,9936034,9926359,9978934
MIZKA.P（1 回）,29839073,9972281,9988670,9878122
TAK-875（1 回）,29836453,9942430,9930135,9963888
MILKYWAY（6 回）,29832125,9976545,9911253,9944327
#TA（1 回）,29829530,9953091,9954682,9921757
MAPO（1 回）,29829093,9970149,9905589,9953355
SHIMARIN（1 回）,29826850,9914712,9945241,9966897
2035****（7 回）,29823710,9974413,9939577,9909720
JUNGWFAN（1 回）,29823325,9942430,9939577,9941318
SUZAKU*X（2 回）,29822484,9970149,9947129,9905206
#ROBOCIR（1 回）,29822234,9974413,9947129,9900692
DONKATSU（1 回）,29821443,9968017,9937688,9915738
L1RMETY（1 回）,29816754,9976545,9924471,9915738
