プレイヤー名,合計,パーフェクトイーター,I-W-U (I Want U)（※EXTRA SAVIOR A3）,Sparkle Dreams（※EXTRA SAVIOR A3）,We're so Happy,KING,Triple Cross,New Generation,BITTER CHOCOLATE STRIKER,Anti-Matter
MARQQQ,19361,2095,2234,2504,1891,2025,2165,2041,1989,2417
NOTTY,19256,2082,2223,2494,1885,2015,2143,2021,1980,2413
RINBO-,19181,2052,2219,2493,1878,2019,2160,2015,1976,2369
NAKASON,19177,2095,2198,2500,1890,2023,2078,2015,1986,2392
28OCLOCK,19104,2076,2184,2496,1873,1999,2128,2016,1945,2387
UN-LIM,19081,2080,2220,2494,1879,1981,2117,2026,1907,2377
BLSTOISE,19015,2069,2205,2486,1881,1992,2119,2008,1939,2316
MENN,19001,2064,2198,2476,1843,1981,2131,1990,1934,2384
HUP.GAME,18947,2062,2216,2480,1877,1987,2115,2004,1891,2315
HU TAO,18857,2035,2194,2447,1862,1972,2094,2000,1901,2352
KNOTTY,18846,2072,2213,2475,1877,1879,2130,1933,1939,2328
YO4-YEAH,18788,2053,2220,2469,1855,1950,2079,2001,1925,2236
BREEBS,18727,2066,2187,2471,1857,1983,2007,1885,1915,2356
N.NATURE,18693,2050,2175,2449,1877,1947,2041,2005,1865,2284
OHAMIZSE,18662,2022,2161,2398,1861,1980,2095,1946,1935,2264
GINXYASU,18661,2079,2197,2360,1884,1994,2122,2035,1943,2047
KEI-EDGE,18593,2031,2190,2407,1853,1958,2047,1980,1882,2245
LAPIS,18577,1997,2190,2459,1847,1898,2097,1927,1875,2287
WATA8U,18524,2041,2148,2430,1850,1953,2060,1935,1867,2240
26.964,18424,1992,2187,2334,1775,1934,2049,1990,1841,2322
5 1 3,18423,2050,2180,2378,1851,1950,2058,1978,1830,2148
MAIL-IN,18420,2051,2160,2424,1847,1937,2046,1951,1876,2128
MOK2,18396,2008,2151,2228,1834,1925,2065,1972,1902,2311
SELZLA,18305,2057,2170,2461,1865,1930,1987,1761,1838,2236
LOTUS.,18289,1966,2147,2397,1784,1861,2059,1889,1817,2369
UN-RE,18222,1347,2215,2427,1861,2001,2069,2025,1880,2397
ONI-3,18199,1997,2170,2378,1850,1847,1936,1935,1846,2240
SHO-NEN.,18147,1941,2141,2428,1817,1867,2108,1950,1890,2005
P.EEVEE,18057,1985,2125,2408,1850,1803,1988,1921,1839,2138
GRENINJA,17997,2047,2164,2417,1859,1908,2070,1940,1592,2000
KAI,17993,1980,2134,2393,1816,1875,1985,1848,1785,2177
PP1!,17962,2017,2180,2007,1854,1958,1949,1915,1857,2225
COUNT,17903,2021,2119,1890,1855,1952,2069,1952,1862,2183
ABUKUMA.,17892,2066,2135,1766,1875,1959,2048,1963,1883,2197
SIGNIT,17816,1975,2110,2316,1796,1898,1915,1915,1725,2166
NICEGB,17715,1999,2148,2379,1807,1755,1936,1799,1800,2092
ALRESCHA,17694,1951,2089,2298,1795,1846,1886,1920,1743,2166
HITO,17678,2032,2151,2385,1842,1702,1982,1792,1594,2198
GAWRGURA,17668,1980,2146,2211,1813,1913,1833,1877,1755,2140
DICE-TGR,17638,2001,2078,2343,1766,1873,1950,1857,1768,2002
K I D,17600,2003,2168,2323,1862,1726,1982,1855,1545,2136
MYU,17563,1965,2119,2359,1784,1722,1917,1840,1735,2122
&,17544,1979,1993,2370,1765,1847,1953,1604,1776,2257
MUDKIPZ,17541,1994,2136,2272,1797,1878,1850,1892,1763,1959
PR1SM,17355,1960,2083,2256,1781,1694,1948,1777,1682,2174
KURO-4,17345,2032,2125,2427,1846,1890,2055,1914,1899,1157
ICCHIE,17325,2008,2139,1993,1814,1873,2008,1903,1685,1902
SNOWH1TE,17242,1915,2029,2247,1737,1826,1827,1839,1648,2174
46TAMA,17234,1864,2096,2229,1734,1641,1907,1826,1687,2250
A--RU,17200,1916,2090,2184,1773,1811,1853,1852,1618,2103
KOIKING,17196,1884,2078,2251,1766,1717,1840,1831,1659,2170
YUKEY,17068,1917,2087,2104,1772,1783,1913,1705,1721,2066
MTK,17034,1883,2076,1730,1798,1797,1798,1915,1811,2226
MOWEN,17010,1976,2026,1787,1738,1742,1946,1811,1749,2235
TSU,17004,2096,2225,2501,1885,2017,2151,0,1966,2163
LANCEOFX,16984,1934,2101,2357,1782,1598,1889,1734,1524,2065
OTAKO,16909,1561,2068,1961,1784,1812,1916,1865,1778,2164
PHI,16896,1927,2092,2238,1789,1450,1797,1841,1578,2184
AKA-RD.,16810,1945,2077,2266,1809,1369,1864,1777,1622,2081
9610,16807,1915,2077,2149,1785,1555,1952,1772,1537,2065
KITUNE,16749,2045,2200,2453,1870,0,2038,1929,1877,2337
SCARLET,16580,2042,2185,2432,1869,1858,1970,1910,0,2314
Q-SILV,16571,1822,2031,1839,1642,1714,1873,1823,1714,2113
GOBOU,16570,1944,1404,2234,1797,1844,1838,1821,1594,2094
BUNYA,16552,2057,0,2462,1853,1930,2046,2000,1863,2341
R.3,16545,1919,1883,1739,1833,1736,1989,1786,1563,2097
KUBO.T,16522,1996,2168,2396,0,1870,2019,1967,1892,2214
HAYAPETZ,16480,1891,2113,2336,1775,1294,1973,1589,1432,2077
CETORA,16339,1904,1922,1833,1730,1720,1835,1828,1608,1959
S.CARMIN,16337,1969,1820,1000,1833,1903,1941,1922,1826,2123
ANDROO,16304,2055,2202,0,1873,1955,2058,1957,1920,2284
$YOHAN$,16256,2026,2211,2421,1869,1964,1895,2008,1862,0
CAMSTA4,16201,2028,2201,2402,1841,1901,0,1959,1784,2085
AKANEZIP,16165,1871,2067,2234,1704,1272,1800,1462,1543,2212
ROUTESAN,16103,1951,2147,1733,1832,1416,1657,1790,1585,1992
JAGA-NOB,16034,0,2092,2266,1807,1891,1989,1947,1840,2202
GENBU,16028,1853,1982,2232,1720,1376,1784,1620,1529,1932
UWU?,15932,1306,2071,2379,1759,1583,1611,1756,1536,1931
HA,15928,1918,2103,1751,1815,1522,1561,1681,1581,1996
AN10,15915,1943,2063,1152,1724,1635,1955,1721,1568,2154
K-ST8,15890,0,2125,1771,1811,1929,2076,1999,1890,2289
EVA-01,15825,1914,2026,2132,1756,1471,1701,1586,1413,1826
HISA-KUN,15620,2009,2129,2396,1819,1845,2031,679,780,1932
2810RI3,15523,1991,2145,1810,0,1697,1925,1880,1796,2279
MAX-TW,15501,2026,2101,0,1809,1695,2018,1841,1815,2196
FINGA,15455,1907,1464,2051,1771,1341,1795,1806,1389,1931
YUSUKE,15424,2038,2028,2385,1724,1746,0,1904,1554,2045
TFM,15417,1903,1671,1720,1692,1623,1792,1595,1617,1804
MONARCH,15416,1317,1930,1755,1753,1737,1571,1839,1563,1951
LIN,15404,1940,1460,1687,1740,1504,1837,1807,1405,2024
ZEO,15373,1941,2055,0,1779,1920,1846,1895,1861,2076
