プレイヤー名,合計,パーフェクトイーター,烏,μ9,サケビノミドリ,焔華,LIMIT TOPPA REVOLUTION,左脳スパーク,蒼い弓箭,ブルーローズイノセンス,怒れる大きな白い馬,極悪の華,Journey
みれすた,1194696,99661,99744,99696,99184,99269,99227,99825,99788,99765,99433,99628,99476
なかそん,1192894,99811,99808,99720,98976,98736,99403,99709,99524,99608,99109,99584,98906
れお,1192502,99683,99904,99720,98824,98691,99426,99564,99418,99634,99163,99599,98876
ー－－－－－,1191633,99661,99648,99766,98816,98942,98616,99695,99682,99530,99028,99518,98731
ＳＨＩＶＡ．,1190793,99661,99776,99689,98864,98477,98741,99738,99392,99530,98893,99650,98382
ひなまつりＮ,1189798,99232,99648,99487,99064,98926,99249,99477,99277,99060,98570,99190,98618
しゃろん,1187813,99593,99392,99487,98864,98782,97829,99383,99074,99365,98300,99453,98291
チューニョ,1187663,99458,99552,99277,98264,98439,98226,99412,99471,99556,98111,99234,98663
Ｌｉｕ＠ＦＨ,1187229,99367,99488,99603,98704,98036,98587,99557,99154,99400,98219,99081,98033
ぶりお,1187164,99413,99361,99254,98632,98926,98697,99259,98678,99130,98327,99234,98253
おじや,1186544,99480,99392,99417,98800,97945,98984,99165,99048,99208,98246,98811,98048
ムネキ,1186223,99413,98892,99479,98560,98401,98344,99165,99048,99034,98363,99081,98443
うっしー,1186213,99164,99456,99386,98496,98493,97969,99150,99286,99217,98273,98819,98504
ＡＶＥＬ,1185271,99367,99392,99184,98104,98181,97785,99426,99154,99426,98174,99037,98041
シーサー,1184964,99322,99616,99215,98336,97990,98425,99129,98616,98982,98624,98965,97744
びーすけ,1184559,99232,99265,99067,98360,98318,98035,99150,98889,99243,98030,98709,98261
ＳＯＳ！,1184455,99480,99456,99090,98608,98432,97799,99433,98942,99191,97383,98578,98063
にしこりけい,1184066,99322,99201,99300,98200,98188,98337,99296,98599,99008,97760,98906,97949
Ｌｉｅｆ,1184038,99413,99105,99292,98472,98272,98116,99303,99022,99478,97257,98731,97577
アミュ,1183460,99367,98945,99160,98552,98257,98035,99368,98810,98643,97347,99125,97851
ばなな＠Ｓ,1183390,99322,99361,99316,98368,98348,98167,99346,98616,98817,97374,98702,97653
ＭＲ．Ｔ,1183119,99232,98977,99106,98016,98386,98101,99194,98651,99139,97643,99059,97615
ＳＩＮＸ,1183008,99112,99233,98850,98152,97404,98454,99404,98731,99086,98030,98906,97646
ＭＯＫ２,1182862,99006,99073,99044,98080,98127,98101,99390,98748,98817,97769,99016,97691
しょまー,1182434,99322,99201,99254,98192,98112,97763,98904,99039,99339,97697,98520,97091
２５,1181796,99209,99329,98951,97840,97496,98344,99150,98942,98982,97571,98724,97258
ごるナンスＧ,1181580,99029,99009,99137,98456,98120,97718,99252,98889,99008,97086,98731,97145
らびふっと,1181275,99066,98690,99393,98592,97450,97969,99267,98563,99113,96888,98775,97509
アザラッシー,1180825,99074,98913,99254,98128,97884,97549,99281,98678,98930,96987,98600,97547
ど,1180433,99097,98807,99207,98376,97846,97880,99259,98493,98339,96798,98731,97600
ＳｕｍｉＲｅ,1179940,99074,98977,99160,98312,97640,97299,99143,98757,98904,96438,98841,97395
ぶちょ＠１９,1179696,99006,98998,99254,98464,98470,97674,98599,98308,98539,96942,98199,97243
クロ,1177975,99209,98913,99160,98304,97777,97350,98925,98863,98539,94532,98841,97562
タイＳＵＮ,1177677,98577,98977,99052,98232,97404,97299,99085,98493,98565,97751,98578,95664
さと,1177123,98713,98690,98997,98512,97671,96946,98955,97938,98434,97086,98819,96362
ワルクマ,1174948,98487,98753,98904,97416,97062,96710,98802,98202,98460,97940,98206,96006
ペンタゴン,1174014,98683,98200,98733,97640,97108,96835,98701,98044,98165,96969,98141,96795
むげみ＠ゴチ,1173804,98660,98722,98321,97976,97321,96850,99194,98229,98147,95656,98206,96522
しらたま,1173124,98555,97891,98694,97816,97564,97306,98780,98466,98069,95206,98126,96651
レギュラー,1172894,99006,98370,98648,97936,97716,97593,98563,97621,97886,95989,98024,95542
もーるす,1171868,98419,98115,98391,97272,96659,97049,98824,97779,98417,96178,98053,96712
モタリケ,1171816,98698,98519,98290,97464,96544,97321,98722,97718,98556,95494,97915,96575
チェキさん,1170625,98577,98019,99067,97944,97298,96203,98534,98052,98069,95152,97879,95831
ＪＵＩＺ,1170383,98036,98019,97863,97424,96331,96732,98715,98176,98173,96411,98141,96362
じゅんすき,1169815,98893,97220,98414,97336,97336,95239,98519,98202,98173,95818,98075,96590
らものつ,1169045,98442,97720,99044,97352,96894,96247,98577,97779,98095,94991,97587,96317
なんしい,1169032,98735,97284,98593,97416,96940,97064,98802,98000,98252,94721,97470,95755
らづ,1169011,98397,98785,97847,97080,96628,96666,98563,97718,98182,94667,97835,96643
サインあーる,1167688,97923,97412,98243,97216,96522,96247,98541,97030,97304,96142,98032,97076
こすけ,1167178,97539,98168,97863,97696,96514,95930,98744,97356,97443,95314,97747,96864
Ｙ２Ｋ,1167166,98261,98338,97824,96960,96377,96401,98069,97118,97808,97158,97704,95148
ＣＯＯＬ,1166545,98901,98871,98811,98072,97815,96607,92924,98237,95669,97050,96056,97532
まにょ,1165958,98419,97859,98142,97184,96430,96217,99063,97506,97965,93534,97368,96271
プルアさん,1165937,97629,97050,98018,97096,96544,95974,98388,97515,97808,96348,97660,95907
ＤＳ,1163959,98329,97316,98057,96848,96894,96328,98432,97409,96678,94082,97755,95831
ｓｕｂｔｉｌ,1163919,98645,97667,97902,97152,95372,96431,98359,97427,97547,93956,97660,95801
たたかうマン,1163123,98036,97337,98104,97080,96666,95430,98846,97083,97095,94334,97266,95846
ステップ,1162161,98171,97209,97902,97400,96065,95724,97968,97295,97208,93974,97179,96066
シグマ,1162045,97358,97433,97917,97416,96179,95584,98737,96969,97391,94766,97223,95072
すずきまさる,1161805,98374,97348,98445,96832,96232,95121,98519,96537,97704,94082,96727,95884
ますらおーむ,1161763,97720,97795,97979,97480,96187,96011,98018,97136,96165,95107,96873,95292
たぬき,1161627,97697,97507,97195,97216,96430,96158,98251,96511,97234,95224,96457,95747
Ｙ．Ｋ,1161361,97990,98168,97684,96888,96392,95592,98258,97268,97330,94262,97201,94328
ごん,1160618,98006,97976,98205,96888,96027,95570,98018,96607,97295,93147,97018,95861
カテナリー,1160485,98081,96954,98127,96552,96080,95194,98359,96775,97182,94199,97478,95504
ニエンテムリ,1159069,97441,96698,98049,96688,95410,95776,97975,96625,97182,94352,97179,95694
まっしゅ,1158856,98442,96922,97428,97008,95875,95459,98113,95832,97600,94478,96756,94943
たれぽん,1157256,97832,96730,97505,96672,96316,95158,98280,96828,96434,93938,96924,94639
ぬいそら,1157107,98081,97390,96721,96448,97054,95408,97706,96643,97069,94262,96749,93576
カズ８．Ｋ,1155995,97178,97124,97288,96936,96171,95165,97975,97066,97017,94946,96647,92482
ＮＮ７,1155030,97516,95995,97342,96240,94863,95136,98251,96854,97026,93893,96698,95216
あきば,1153684,97223,97209,97482,96304,95449,94208,97714,96933,96739,93057,96545,94821
すていぬ,1152187,97396,97145,97024,95688,95730,94142,98526,96396,96243,94037,96603,93257
まーしぃ,1152176,97554,96996,97218,96064,95768,94562,97140,96466,96365,92832,96603,94608
ムーラン,1152113,97539,96411,97552,96320,94885,94908,97946,95770,96156,92886,96494,95246
エルピス,1151897,97990,96112,97847,96352,95258,94746,98178,97110,97026,91142,96545,93591
ぱるめざん,1151074,96809,96080,97179,96696,95098,95217,97365,96828,95582,92625,96341,95254
かとうあおい,1150626,97419,96474,97039,95392,94543,94724,98120,95259,95808,94208,96690,94950
