プレイヤー名,合計,パーフェクトイーター,Preserved Valkyria,Rhapsody ⚙f Triumph
KND*48TE（18 回）,30000000,10000000,10000000,10000000
MARUP*IC（17 回）,29998581,10000000,10000000,9998581
#7C.DE（42 回）,29998581,10000000,10000000,9998581
CHIKA*B（11 回）,29997486,10000000,9997486,10000000
STR（11 回）,29992136,9994974,10000000,9997162
DAIKI.（1 回）,29991810,10000000,9997486,9994324
2（2 回）,29987230,10000000,10000000,9987230
NPOCHAM（4 回）,29971623,10000000,10000000,9971623
F. REZI7（3 回）,29947826,10000000,9997486,9950340
EETEYAMA（1 回）,29943200,9997487,9969834,9975879
ICARLY（1 回）,29931603,9994974,9952237,9984392
CLOEL.C（1 回）,29913033,10000000,9937154,9975879
SLASAN（2 回）,29909025,9994974,9962292,9951759
ABALLAVA（1 回）,29907280,10000000,9959778,9947502
V*ENMT（1 回）,29900477,9972361,9952237,9975879
20!（1 回）,29895684,9994974,9944695,9956015
MIKU-Z0D（1 回）,29890020,9974874,9964806,9950340
E.（1 回）,29886082,9984924,9952237,9948921
FLN（1 回）,29871450,9977386,9952237,9941827
KAMU.TEA（1 回）,29869903,9987437,9932126,9950340
EZ4-ENC（1 回）,29864556,9977386,9939668,9947502
*.-.*?（1 回）,29856650,10000000,9967320,9889330
YUKISU（1 回）,29854173,9987437,9922071,9944665
AVOCADO（1 回）,29852877,9987437,9932126,9933314
U.RUSHIA（1 回）,29845133,9989949,9934640,9920544
DEX（2 回）,29837036,9959798,9939668,9937570
EDIS.HUM（1 回）,29823441,9977386,9884364,9961691
ALC.WINE（1 回）,29820745,9939698,9932126,9948921
PASTEL（1 回）,29814518,9994974,9891905,9927639
#BP.YSN（1 回）,29812327,9994974,9886877,9930476
HNANA.WF（2 回）,29808782,9962311,9947209,9899262
VX*32KI（1 回）,29804218,9989949,9866767,9947502
KONMAI（1 回）,29800534,9987437,9886877,9926220
SYAVA（1 回）,29794086,9989949,9879336,9924801
N4*RU-13（1 回）,29773033,9932160,9924585,9916288
VX*3ZUKI（1 回）,29770544,9972361,9914529,9883654
MILKYWAY（1 回）,29769097,9937185,9917043,9914869
SETU-O（3 回）,29768598,9979899,9922071,9866628
SESS4N（2 回）,29768346,9989949,9891905,9886492
KARIN（1 回）,29757688,9992462,9917043,9848183
LON（1 回）,29757554,9922110,9944695,9890749
STORIA.（1 回）,29756493,9914572,9894419,9947502
#SAYU（1 回）,29751847,9984924,9881850,9885073
ANZUINFO（2 回）,29751716,10000000,9856711,9895005
FJMN-451（1 回）,29747034,9957286,9891905,9897843
3DOLY...（1 回）,29746504,9969849,9894419,9882236
G2 NIKO（1 回）,29738750,9992462,9876822,9869466
ASADONEL（2 回）,29738041,9929648,9879336,9929057
NOA..（1 回）,29736452,9962311,9891905,9882236
I.WF（1 回）,29731785,9982412,9896933,9852440
313#YURI（1 回）,29729874,9917085,9977375,9835414
HULK（1 回）,29724343,9997487,9796380,9930476
DREI*34（1 回）,29721780,9942211,9871794,9907775
TOSHINON（1 回）,29719843,9929648,9899446,9890749
NERAK#CW（1 回）,29718439,9989949,9871794,9856696
MAKIA（1 回）,29716975,9989949,9839115,9887911
UNAGIINU（1 回）,29714225,9969849,9836601,9907775
SUZAKU*X（3 回）,29714021,9974874,9844142,9895005
Y4HH0*0P（1 回）,29713615,9891959,9919557,9902099
SEENOS（1 回）,29710886,9924623,9896933,9889330
PAIGENIA（1 回）,29709911,9929648,9899446,9880817
ACE*7Z（3 回）,29708632,9989949,9881850,9836833
LATASHA（1 回）,29708341,9891959,9894419,9921963
#SOMA-.（1 回）,29702393,9974874,9879336,9848183
SION（1 回）,29700803,9977386,9834087,9889330
DECOPON（1 回）,29699529,9934673,9886877,9877979
FAIRU（1 回）,29697958,9992462,9819004,9886492
MISTIA（1 回）,29695176,9974874,9869281,9851021
2035****（1 回）,29688140,9919597,9869281,9899262
H7*ONE-3（1 回）,29685547,9922110,9886877,9876560
DMDKD（3 回）,29681185,9979899,9851684,9849602
MOYASHI（1 回）,29681138,9889447,9876822,9914869
M（1 回）,29678338,9907035,9891905,9879398
LOA（1 回）,29677809,9974874,9783810,9919125
OTOGAME&（1 回）,29675537,9987437,9788838,9899262
TEARA.（1 回）,29673876,9977386,9778783,9917707
KINOMIYA（1 回）,29671419,9954773,9831573,9885073
LANGLEY（1 回）,29670192,9912060,9917043,9841089
REOL.（1 回）,29670183,9896984,9844142,9929057
STL（1 回）,29669885,9939698,9836601,9893586
KU100（1 回）,29661201,9972361,9849170,9839670
*RICE.S*（1 回）,29657566,9964824,9906988,9785754
R.RUBY（1 回）,29657129,9944723,9919557,9792849
5572LOVE（1 回）,29656550,9959798,9886877,9809875
KITES（1 回）,29654665,9904522,9901960,9848183
35.（1 回）,29648322,9947236,9864253,9836833
GUGUBIRD（1 回）,29647306,9972361,9901960,9772985
MURACHAN（1 回）,29644013,9957286,9821518,9865209
NAG!.08（1 回）,29640905,9944723,9869281,9826901
DORAGON（1 回）,29639064,9954773,9796380,9887911
W.AUT（2 回）,29631253,9937185,9841628,9852440
4IDEZ.VV（2 回）,29630813,9984924,9731020,9914869
KIWI（1 回）,29630558,9942211,9808949,9879398
AITSUK（1 回）,29620843,10000000,9771241,9849602
GS.COB（1 回）,29618509,9979899,9831573,9807037
MIZUKI（1 回）,29617929,9904522,9856711,9856696
HLD*（1 回）,29616771,9939698,9786324,9890749
TRR.（1 回）,29615499,9987437,9781297,9846765
YAMADA.R（1 回）,29615168,10000000,9771241,9843927
NRS*468（1 回）,29612078,9826633,9859225,9926220
#.MGMT（1 回）,29606041,9839195,9904474,9862372
HOHEINAB（1 回）,29602234,9929648,9854198,9818388
NEBIX（1 回）,29600102,9997487,9846656,9755959
LIZE.（1 回）,29596197,9909547,9844142,9842508
DODOGORO（1 回）,29593842,9932160,9861739,9799943
H*YUUKA（1 回）,29592656,9929648,9796380,9866628
ST（1 回）,29583561,9982412,9813976,9787173
PUNYA!?（1 回）,29583358,9957286,9763700,9862372
-YUU-（1 回）,29578173,9964824,9796380,9816969
MAIDARIS（1 回）,29577028,9969849,9756158,9851021
UI.490（1 回）,29575574,9886934,9861739,9826901
GJD*IM（1 回）,29575164,9811557,9929612,9833995
H1N4#5（1 回）,29572138,9879396,9906988,9785754
SE2NA（1 回）,29569119,9904522,9839115,9825482
ARIGATA8（1 回）,29568641,9964824,9771241,9832576
#YR*LIRA（1 回）,29566326,9969849,9751131,9845346
YUKI（1 回）,29561305,9954773,9761186,9845346
MESUGAKI（2 回）,29558411,9974874,9708396,9875141
*SINDY*（1 回）,29554206,9934673,9924585,9694948
SHI（1 回）,29553585,9819095,9869281,9865209
BOODAYO（1 回）,29547555,9972361,9751131,9824063
LEOL（1 回）,29542570,9982412,9768728,9791430
RIOT（1 回）,29539679,9902010,9783810,9853859
YUKI*HN（1 回）,29537843,9934673,9776269,9826901
NOTORIN（1 回）,29537803,9952261,9813976,9771566
J.J*UMA（2 回）,29537115,9942211,9796380,9798524
MAYUKI*C（1 回）,29533191,9922110,9813976,9797105
NR*EULER（1 回）,29531304,9934673,9705882,9890749
H.UTAO（1 回）,29522085,9927135,9829059,9765891
PUSH-P&A（7 回）,29519094,9894472,9819004,9805618
NOA（1 回）,29516107,9944723,9758672,9812712
SHI.YU.（1 回）,29515995,9954773,9826546,9734676
WAPPAYO（2 回）,29512200,9954773,9690799,9866628
ROLLIN（1 回）,29511929,9851758,9796380,9863791
KOMATUNA（1 回）,29507490,9907035,9786324,9814131
- MA? -（1 回）,29499155,9952261,9728506,9818388
RULLEP（1 回）,29494955,9932160,9781297,9781498
MIMIC.55（1 回）,29492199,9924623,9766214,9801362
N0-R43（2 回）,29491940,9944723,9725992,9821225
ELLEY（1 回）,29486809,9907035,9748617,9831157
PER.（1 回）,29485787,9944723,9773755,9767309
SHINO*J（1 回）,29484628,9949748,9645550,9889330
M*KYU（1 回）,29480155,9919597,9743589,9816969
VY-TSKY（1 回）,29471028,9944723,9756158,9770147
KPLRUSSS（1 回）,29470791,9864321,9871794,9734676
BIGKNTM（1 回）,29467844,9896984,9773755,9797105
ACT7ON（1 回）,29464716,9984924,9665661,9814131
MAIMERO（1 回）,29464343,9929648,9746103,9788592
MZK（1 回）,29463231,9871859,9768728,9822644
MOTOYASU（1 回）,29462532,9912060,9788838,9761634
W040（1 回）,29454639,9874371,9788838,9791430
STELLA（3 回）,29453256,9954773,9685771,9812712
S.LOLI.2（1 回）,29451188,9866834,9746103,9838251
DG-KAI（1 回）,29447377,9871859,9748617,9826901
RANKDOWN（1 回）,29444554,9934673,9718451,9791430
C-REIZ（1 回）,29443451,9949748,9700854,9792849
99.COM（1 回）,29436683,9884422,9819004,9733257
ALKATALE（1 回）,29421854,9899497,9665661,9856696
L1AN?（1 回）,29421790,9907035,9768728,9746027
KUMA（1 回）,29420794,9922110,9673202,9825482
7KS（1 回）,29415515,9869346,9756158,9790011
HAKU（1 回）,29414938,9881909,9725992,9807037
#NUONTAT（1 回）,29414268,9957286,9743589,9713393
SKONG（1 回）,29413468,9922110,9741075,9750283
G-FREE（1 回）,29411793,9942211,9700854,9768728
M1ZORE-X（1 回）,29407786,9844221,9786324,9777241
NF（1 回）,29406750,9972361,9665661,9768728
NR2.4251（1 回）,29403979,9932160,9738562,9733257
K1T*K4T（1 回）,29396741,9942211,9630467,9824063
P0K0.P（1 回）,29395709,9939698,9751131,9704880
ITD.（1 回）,29395400,9912060,9781297,9702043
AZ-MACS（1 回）,29378507,9919597,9640522,9818388
MILKUMA!（1 回）,29376986,9909547,9728506,9738933
19890604（1 回）,29375827,9944723,9658119,9772985
MRTAN.SK（1 回）,29374943,9924623,9663147,9787173
RAYWATER（1 回）,29371102,9894472,9668174,9808456
H.AMAZON（1 回）,29369393,9859296,9793866,9716231
I3-（1 回）,29365187,9879396,9663147,9822644
MENHERA（1 回）,29360106,9864321,9783810,9711975
101*（1 回）,29357155,9907035,9675716,9774404
PULSE（1 回）,29350514,9831658,9813976,9704880
CINO（1 回）,29349457,9819095,9768728,9761634
AIUEO700（1 回）,29348692,9713567,9836601,9798524
TERABYTE（1 回）,29347705,9929648,9693313,9724744
N4N4M4（1 回）,29347630,9894472,9663147,9790011
HAKUTAKU（1 回）,29341900,9942211,9670688,9729001
INF-B*FE（2 回）,29339282,9844221,9811463,9683598
CHILLIN（1 回）,29338379,9919597,9665661,9753121
#PLUSLE（1 回）,29336318,9909547,9680744,9746027
ZE7F（1 回）,29335964,9874371,9685771,9775822
ELITMIKO（1 回）,29330192,9944723,9725992,9659477
ROP64（1 回）,29327028,9919597,9665661,9741770
ZEGUDO.（1 回）,29323229,9992462,9632981,9697786
KASU!!（1 回）,29319775,9929648,9700854,9689273
N2TRO（1 回）,29319591,9957286,9630467,9731838
XJO5.（1 回）,29308296,9846733,9741075,9720488
JIN.X（1 回）,29306363,9886934,9660633,9758796
WANKORO（1 回）,29305812,9846733,9683257,9775822
JKI（1 回）,29302989,9912060,9650578,9740351
YU-KI（1 回）,29302440,9899497,9733534,9669409
